timestamp,open,high,low,close
2018-07-01,7.4547,7.4565,7.4483,7.4508
2018-06-29,7.4526,7.4540,7.4490,7.4501
2018-06-28,7.4504,7.4537,7.4485,7.4529
2018-06-27,7.4509,7.4528,7.4480,7.4507
2018-06-26,7.4515,7.4542,7.4498,7.4514
2018-06-25,7.4527,7.4564,7.4497,7.4519
2018-06-24,7.4534,7.4571,7.4499,7.4530
2018-06-22,7.4518,7.4547,7.4500,7.4527
2018-06-21,7.4519,7.4550,7.4499,7.4522
2018-06-20,7.4531,7.4546,7.4500,7.4524
2018-06-19,7.4513,7.4558,7.4486,7.4535
2018-06-18,7.4500,7.4558,7.4470,7.4513
2018-06-17,7.4504,7.4526,7.4466,7.4497
2018-06-15,7.4508,7.4530,7.4480,7.4485
2018-06-14,7.4496,7.4541,7.4470,7.4507
2018-06-13,7.4505,7.4520,7.4480,7.4499
2018-06-12,7.4480,7.4520,7.4470,7.4505
2018-06-11,7.4482,7.4512,7.4461,7.4494
2018-06-10,7.4497,7.4512,7.4466,7.4487
2018-06-09,7.4493,7.4493,7.4493,7.4493
2018-06-08,7.4481,7.4500,7.4458,7.4483
2018-06-07,7.4455,7.4500,7.4428,7.4485
2018-06-06,7.4421,7.4472,7.4400,7.4459
2018-06-05,7.4427,7.4440,7.4400,7.4424
2018-06-04,7.4431,7.4473,7.4400,7.4427
2018-06-03,7.4432,7.4466,7.4393,7.4437
2018-06-01,7.4427,7.4460,7.4400,7.4435
2018-05-31,7.4422,7.4460,7.4398,7.4433
2018-05-30,7.4412,7.4460,7.4400,7.4425
2018-05-29,7.4476,7.4480,7.4361,7.4414
2018-05-28,7.4483,7.4702,7.4450,7.4472
2018-05-27,7.4479,7.4718,7.4448,7.4483
2018-05-25,7.4484,7.4503,7.4451,7.4503
2018-05-24,7.4493,7.4510,7.4460,7.4488
2018-05-23,7.4482,7.4539,7.4450,7.4494
2018-05-22,7.4464,7.4504,7.4450,7.4484
2018-05-21,7.4462,7.4480,7.4449,7.4466
2018-05-20,7.4463,7.4490,7.4417,7.4465
2018-05-18,7.4466,7.4493,7.4450,7.4469
2018-05-17,7.4466,7.4493,7.4447,7.4483
2018-05-16,7.4483,7.4500,7.4451,7.4472
2018-05-15,7.4487,7.4520,7.4460,7.4483
2018-05-14,7.4498,7.4510,7.4466,7.4490
2018-05-13,7.4491,7.4531,7.4462,7.4501
2018-05-11,7.4496,7.4523,7.4470,7.4520
2018-05-10,7.4497,7.4513,7.4470,7.4500
2018-05-09,7.4480,7.4508,7.4450,7.4505
2018-05-08,7.4480,7.4510,7.4460,7.4503
2018-05-07,7.4496,7.4511,7.4470,7.4498
2018-05-06,7.4494,7.4521,7.4466,7.4499
2018-05-04,7.4496,7.4510,7.4470,7.4478
2018-05-03,7.4491,7.4513,7.4466,7.4502
2018-05-02,7.4502,7.4511,7.4470,7.4497
2018-05-01,7.4493,7.4513,7.4489,7.4505
2018-04-30,7.4494,7.4561,7.4348,7.4492
2018-04-29,7.4485,7.4506,7.4448,7.4489
2018-04-27,7.4497,7.4520,7.4480,7.4508
2018-04-26,7.4497,7.4520,7.4480,7.4499
2018-04-25,7.4464,7.4514,7.4450,7.4503
2018-04-24,7.4472,7.4508,7.4450,7.4484
2018-04-23,7.4471,7.4490,7.4406,7.4477
2018-04-22,7.4477,7.4525,7.4333,7.4476
2018-04-20,7.4472,7.4490,7.4460,7.4475
2018-04-19,7.4475,7.4489,7.4460,7.4474
2018-04-18,7.4471,7.4490,7.4460,7.4478
2018-04-17,7.4470,7.4482,7.4459,7.4472
2018-04-16,7.4468,7.4482,7.4443,7.4474
2018-04-15,7.4458,7.4518,7.4431,7.4466
2018-04-13,7.4466,7.4479,7.4446,7.4470
2018-04-12,7.4453,7.4474,7.4439,7.4461
2018-04-11,7.4464,7.4474,7.4393,7.4460
2018-04-10,7.4460,7.4503,7.4418,7.4464
2018-04-09,7.4464,7.4480,7.4446,7.4468
2018-04-08,7.4470,7.4494,7.4454,7.4465
2018-04-06,7.4468,7.4480,7.4450,7.4462
2018-04-05,7.4496,7.4502,7.4452,7.4472
2018-04-04,7.4502,7.4520,7.4476,7.4497
2018-04-03,7.4484,7.4558,7.4446,7.4502
2018-04-02,7.4540,7.4544,7.4474,7.4486
2018-04-01,7.4540,7.4662,7.4466,7.4542
2018-03-30,7.4544,7.4567,7.4518,7.4536
2018-03-29,7.4523,7.4560,7.4510,7.4546
2018-03-28,7.4495,7.4530,7.4465,7.4523
2018-03-27,7.4430,7.4515,7.4426,7.4504
2018-03-26,7.4480,7.4500,7.4427,7.4471
2018-03-25,7.4479,7.4574,7.4455,7.4482
2018-03-23,7.4481,7.4500,7.4465,7.4479
2018-03-22,7.4482,7.4502,7.4468,7.4482
2018-03-21,7.4483,7.4532,7.4470,7.4487
2018-03-20,7.4486,7.4500,7.4470,7.4485
2018-03-19,7.4481,7.4510,7.4446,7.4486
2018-03-18,7.4473,7.4506,7.4401,7.4483
2018-03-16,7.4478,7.4494,7.4264,7.4264
2018-03-15,7.4489,7.4500,7.4463,7.4479
2018-03-14,7.4484,7.4503,7.4470,7.4492
2018-03-13,7.4478,7.4517,7.4446,7.4482
2018-03-12,7.4487,7.4510,7.4446,7.4480
2018-03-11,7.4492,7.4539,7.4463,7.4486
2018-03-10,7.4492,7.4492,7.4489,7.4489
2018-03-09,7.4479,7.4516,7.4445,7.4500
2018-03-08,7.4507,7.4520,7.4469,7.4480
2018-03-07,7.4498,7.4527,7.4446,7.4510
2018-03-06,7.4488,7.4578,7.4470,7.4501
2018-03-05,7.4465,7.4494,7.4446,7.4487
2018-03-04,7.4483,7.4525,7.4433,7.4471
2018-03-02,7.4476,7.4490,7.4459,7.4474
2018-03-01,7.4459,7.4488,7.4440,7.4476
2018-02-28,7.4454,7.4480,7.4446,7.4462
2018-02-27,7.4452,7.4490,7.4440,7.4459
2018-02-26,7.4453,7.4473,7.4435,7.4454
2018-02-25,7.4462,7.4478,7.4422,7.4456
2018-02-23,7.4477,7.4490,7.4435,7.4440
2018-02-22,7.4468,7.4495,7.4440,7.4473
2018-02-21,7.4467,7.4482,7.4450,7.4470
2018-02-20,7.4476,7.4490,7.4456,7.4470
